Komoditi,Tanggal,Harga Petani,Harga Pengecer
Beras Medium,2022-01-01,8800.0,9000.0
Beras Medium,2022-01-02,8800.0,9000.0
Beras Medium,2022-01-03,8800.0,9000.0
Beras Medium,2022-01-04,8800.0,9000.0
Beras Medium,2022-01-05,8800.0,9000.0
Beras Medium,2022-01-06,8800.0,9000.0
Beras Medium,2022-01-07,8800.0,9000.0
Beras Medium,2022-01-08,8800.0,9000.0
Beras Medium,2022-01-09,8800.0,9000.0
Beras Medium,2022-01-10,8800.0,9000.0
Beras Medium,2022-01-11,8800.0,9000.0
Beras Medium,2022-01-12,8800.0,9000.0
Beras Medium,2022-01-13,8800.0,9000.0
Beras Medium,2022-01-14,8800.0,9000.0
Beras Medium,2022-01-15,8800.0,9000.0
Beras Medium,2022-01-16,8800.0,9000.0
Beras Medium,2022-01-17,8800.0,9000.0
Beras Medium,2022-01-18,8800.0,9000.0
Beras Medium,2022-01-19,8800.0,9000.0
Beras Medium,2022-01-20,8800.0,9000.0
Beras Medium,2022-01-21,8800.0,9000.0
Beras Medium,2022-01-22,8800.0,9000.0
Beras Medium,2022-01-23,8800.0,9000.0
Beras Medium,2022-01-24,8800.0,9000.0
Beras Medium,2022-01-25,8800.0,9000.0
Beras Medium,2022-01-26,8800.0,9000.0
Beras Medium,2022-01-27,8800.0,9000.0
Beras Medium,2022-01-28,8800.0,9000.0
Beras Medium,2022-01-29,8800.0,9000.0
Beras Medium,2022-01-30,8800.0,9000.0
Beras Medium,2022-01-31,8800.0,9000.0
Beras Medium,2022-02-01,8800.0,9000.0
Beras Medium,2022-02-02,8800.0,9000.0
Beras Medium,2022-02-03,8800.0,9000.0
Beras Medium,2022-02-04,8800.0,9000.0
Beras Medium,2022-02-05,8800.0,9000.0
Beras Medium,2022-02-06,8800.0,9000.0
Beras Medium,2022-02-07,8800.0,9000.0
Beras Medium,2022-02-08,8800.0,9000.0
Beras Medium,2022-02-09,8800.0,9000.0
Beras Medium,2022-02-10,8800.0,9000.0
Beras Medium,2022-02-11,8800.0,9000.0
Beras Medium,2022-02-12,8800.0,9000.0
Beras Medium,2022-02-13,8800.0,9000.0
Beras Medium,2022-02-14,8800.0,9000.0
Beras Medium,2022-02-15,8800.0,9000.0
Beras Medium,2022-02-16,8800.0,9000.0
Beras Medium,2022-02-17,8800.0,9000.0
Beras Medium,2022-02-18,8800.0,9000.0
Beras Medium,2022-02-19,8800.0,9000.0
Beras Medium,2022-02-20,8800.0,9000.0
Beras Medium,2022-02-21,8800.0,9000.0
Beras Medium,2022-02-22,8800.0,9000.0
Beras Medium,2022-02-23,8800.0,9000.0
Beras Medium,2022-02-24,8800.0,9000.0
Beras Medium,2022-02-25,8800.0,9000.0
Beras Medium,2022-02-26,8800.0,9000.0
Beras Medium,2022-02-27,8800.0,9000.0
Beras Medium,2022-02-28,8800.0,9000.0
Beras Medium,2022-03-01,8800.0,9000.0
Beras Medium,2022-03-02,8800.0,9000.0
Beras Medium,2022-03-03,8800.0,9000.0
Beras Medium,2022-03-04,8800.0,9000.0
Beras Medium,2022-03-05,8800.0,9000.0
Beras Medium,2022-03-06,8800.0,9000.0
Beras Medium,2022-03-07,8800.0,9000.0
Beras Medium,2022-03-08,8800.0,9000.0
Beras Medium,2022-03-09,8800.0,9000.0
Beras Medium,2022-03-10,8800.0,9000.0
Beras Medium,2022-03-11,8800.0,9000.0
Beras Medium,2022-03-12,8800.0,9000.0
Beras Medium,2022-03-13,8800.0,9000.0
Beras Medium,2022-03-14,8800.0,9000.0
Beras Medium,2022-03-15,8800.0,9000.0
Beras Medium,2022-03-16,8800.0,9000.0
Beras Medium,2022-03-17,8800.0,9000.0
Beras Medium,2022-03-18,8800.0,9000.0
Beras Medium,2022-03-19,8800.0,9000.0
Beras Medium,2022-03-20,8800.0,9000.0
Beras Medium,2022-03-21,8400.0,9000.0
Beras Medium,2022-03-22,8400.0,9000.0
Beras Medium,2022-03-23,8400.0,9000.0
Beras Medium,2022-03-24,8400.0,9000.0
Beras Medium,2022-03-25,8400.0,9000.0
Beras Medium,2022-03-26,8400.0,9000.0
Beras Medium,2022-03-27,8400.0,9000.0
Beras Medium,2022-03-28,8400.0,9000.0
Beras Medium,2022-03-29,8400.0,9000.0
Beras Medium,2022-03-30,8400.0,9000.0
Beras Medium,2022-03-31,8400.0,9000.0
Beras Medium,2022-04-01,8400.0,9000.0
Beras Medium,2022-04-02,8400.0,9000.0
Beras Medium,2022-04-03,8400.0,9000.0
Beras Medium,2022-04-04,8700.0,9000.0
Beras Medium,2022-04-05,8700.0,9000.0
Beras Medium,2022-04-06,8700.0,9000.0
Beras Medium,2022-04-07,8700.0,9000.0
Beras Medium,2022-04-08,8700.0,9000.0
Beras Medium,2022-04-09,8700.0,9000.0
Beras Medium,2022-04-10,8700.0,9000.0
Beras Medium,2022-04-11,8200.0,9000.0
Beras Medium,2022-04-12,8200.0,9000.0
Beras Medium,2022-04-13,8200.0,9000.0
Beras Medium,2022-04-14,8200.0,9000.0
Beras Medium,2022-04-15,8200.0,9000.0
Beras Medium,2022-04-16,8200.0,9000.0
Beras Medium,2022-04-17,8200.0,9000.0
Beras Medium,2022-04-18,8200.0,9000.0
