Komoditi,Tanggal, Harga Petani , Harga Pengecer 
Jagung Pipil Kering,1/3/2022," Rp4,800.00 "," Rp5,000.00 "
Jagung Pipil Kering,1/4/2022," Rp4,800.00 "," Rp5,000.00 "
Jagung Pipil Kering,1/5/2022," Rp4,800.00 "," Rp5,000.00 "
Jagung Pipil Kering,1/6/2022," Rp4,800.00 "," Rp5,000.00 "
Jagung Pipil Kering,1/7/2022," Rp4,800.00 "," Rp5,000.00 "
Jagung Pipil Kering,1/8/2022,,
Jagung Pipil Kering,1/9/2022,,
Jagung Pipil Kering,1/10/2022," Rp4,800.00 "," Rp5,000.00 "
Jagung Pipil Kering,1/11/2022," Rp4,800.00 "," Rp5,000.00 "
Jagung Pipil Kering,1/12/2022," Rp4,800.00 "," Rp5,000.00 "
Jagung Pipil Kering,1/13/2022," Rp4,800.00 "," Rp5,000.00 "
Jagung Pipil Kering,1/14/2022," Rp4,800.00 "," Rp5,000.00 "
Jagung Pipil Kering,1/15/2022,,
Jagung Pipil Kering,1/16/2022,,
Jagung Pipil Kering,1/17/2022," Rp4,800.00 "," Rp5,000.00 "
Jagung Pipil Kering,1/18/2022," Rp4,800.00 "," Rp5,000.00 "
Jagung Pipil Kering,1/19/2022," Rp4,800.00 "," Rp5,000.00 "
Jagung Pipil Kering,1/20/2022," Rp4,800.00 "," Rp5,000.00 "
Jagung Pipil Kering,1/21/2022," Rp4,800.00 "," Rp5,000.00 "
Jagung Pipil Kering,1/22/2022,,
Jagung Pipil Kering,1/23/2022,,
Jagung Pipil Kering,1/24/2022," Rp4,800.00 "," Rp5,000.00 "
Jagung Pipil Kering,1/25/2022," Rp4,800.00 "," Rp5,000.00 "
Jagung Pipil Kering,1/26/2022," Rp4,800.00 "," Rp5,000.00 "
Jagung Pipil Kering,1/27/2022," Rp4,800.00 "," Rp5,000.00 "
Jagung Pipil Kering,1/28/2022," Rp4,800.00 "," Rp5,000.00 "
Jagung Pipil Kering,1/29/2022,,
Jagung Pipil Kering,1/30/2022,,
Jagung Pipil Kering,1/31/2022," Rp4,800.00 "," Rp5,000.00 "
Jagung Pipil Kering,2/1/2022,,
Jagung Pipil Kering,2/2/2022," Rp4,700.00 "," Rp4,850.00 "
Jagung Pipil Kering,2/3/2022," Rp4,700.00 "," Rp4,850.00 "
Jagung Pipil Kering,2/4/2022," Rp4,700.00 "," Rp4,850.00 "
Jagung Pipil Kering,2/5/2022,,
Jagung Pipil Kering,2/6/2022,,
Jagung Pipil Kering,2/7/2022," Rp4,700.00 "," Rp4,850.00 "
Jagung Pipil Kering,2/8/2022," Rp4,700.00 "," Rp4,850.00 "
Jagung Pipil Kering,2/9/2022," Rp4,700.00 "," Rp4,850.00 "
Jagung Pipil Kering,2/10/2022," Rp4,700.00 "," Rp4,850.00 "
Jagung Pipil Kering,2/11/2022," Rp4,700.00 "," Rp4,850.00 "
Jagung Pipil Kering,2/12/2022,,
Jagung Pipil Kering,2/13/2022,,
Jagung Pipil Kering,2/14/2022," Rp4,700.00 "," Rp4,850.00 "
Jagung Pipil Kering,2/15/2022," Rp4,700.00 "," Rp4,850.00 "
Jagung Pipil Kering,2/16/2022," Rp4,700.00 "," Rp4,850.00 "
Jagung Pipil Kering,2/17/2022," Rp4,700.00 "," Rp4,850.00 "
Jagung Pipil Kering,2/18/2022," Rp4,700.00 "," Rp4,850.00 "
Jagung Pipil Kering,2/19/2022,,
Jagung Pipil Kering,2/20/2022,,
Jagung Pipil Kering,2/21/2022," Rp4,700.00 "," Rp4,850.00 "
Jagung Pipil Kering,2/22/2022," Rp4,700.00 "," Rp4,850.00 "
Jagung Pipil Kering,2/23/2022," Rp4,700.00 "," Rp4,850.00 "
Jagung Pipil Kering,2/24/2022," Rp4,700.00 "," Rp4,850.00 "
Jagung Pipil Kering,2/25/2022," Rp4,700.00 "," Rp4,850.00 "
Jagung Pipil Kering,2/26/2022,,
Jagung Pipil Kering,2/27/2022,,
Jagung Pipil Kering,2/28/2022,,
Jagung Pipil Kering,3/1/2022,,
Jagung Pipil Kering,3/2/2022," Rp4,500.00 "," Rp4,700.00 "
Jagung Pipil Kering,3/3/2022,,
Jagung Pipil Kering,3/4/2022," Rp4,500.00 "," Rp4,700.00 "
Jagung Pipil Kering,3/5/2022,,
Jagung Pipil Kering,3/6/2022,,
Jagung Pipil Kering,3/7/2022,,
Jagung Pipil Kering,3/8/2022," Rp4,500.00 "," Rp4,700.00 "
Jagung Pipil Kering,3/9/2022," Rp4,500.00 "," Rp4,700.00 "
Jagung Pipil Kering,3/10/2022," Rp4,500.00 "," Rp4,700.00 "
Jagung Pipil Kering,3/11/2022,,
Jagung Pipil Kering,3/12/2022,,
Jagung Pipil Kering,3/13/2022,,
Jagung Pipil Kering,3/14/2022," Rp4,600.00 "," Rp5,000.00 "
Jagung Pipil Kering,3/15/2022," Rp4,600.00 "," Rp5,000.00 "
Jagung Pipil Kering,3/16/2022," Rp4,600.00 "," Rp5,000.00 "
Jagung Pipil Kering,3/17/2022," Rp4,600.00 "," Rp5,000.00 "
Jagung Pipil Kering,3/18/2022," Rp4,600.00 "," Rp5,000.00 "
Jagung Pipil Kering,3/19/2022,,
Jagung Pipil Kering,3/20/2022,,
Jagung Pipil Kering,3/21/2022," Rp4,800.00 "," Rp5,150.00 "
Jagung Pipil Kering,3/22/2022," Rp4,800.00 "," Rp5,150.00 "
Jagung Pipil Kering,3/23/2022," Rp4,800.00 "," Rp5,150.00 "
Jagung Pipil Kering,3/24/2022," Rp4,800.00 "," Rp5,150.00 "
Jagung Pipil Kering,3/25/2022," Rp4,800.00 "," Rp5,150.00 "
Jagung Pipil Kering,3/26/2022,,
Jagung Pipil Kering,3/27/2022,,
Jagung Pipil Kering,3/28/2022," Rp4,800.00 "," Rp5,200.00 "
Jagung Pipil Kering,3/29/2022," Rp4,800.00 "," Rp5,200.00 "
Jagung Pipil Kering,3/30/2022," Rp4,800.00 "," Rp5,200.00 "
Jagung Pipil Kering,3/31/2022," Rp4,800.00 "," Rp5,200.00 "
Jagung Pipil Kering,4/1/2022,,
Jagung Pipil Kering,4/2/2022,,
Jagung Pipil Kering,4/3/2022,,
Jagung Pipil Kering,4/4/2022," Rp5,100.00 "," Rp5,200.00 "
Jagung Pipil Kering,4/5/2022," Rp5,100.00 "," Rp5,200.00 "
Jagung Pipil Kering,4/6/2022," Rp5,100.00 "," Rp5,200.00 "
Jagung Pipil Kering,4/7/2022," Rp5,100.00 "," Rp5,200.00 "
Jagung Pipil Kering,4/8/2022," Rp5,100.00 "," Rp5,200.00 "
Jagung Pipil Kering,4/9/2022,,
Jagung Pipil Kering,4/10/2022,,
Jagung Pipil Kering,4/11/2022," Rp4,900.00 "," Rp5,150.00 "
Jagung Pipil Kering,4/12/2022," Rp4,900.00 "," Rp5,150.00 "
Jagung Pipil Kering,4/13/2022," Rp4,900.00 "," Rp5,150.00 "
Jagung Pipil Kering,4/14/2022," Rp4,900.00 "," Rp5,150.00 "
Jagung Pipil Kering,4/15/2022,,
Jagung Pipil Kering,4/16/2022,,
Jagung Pipil Kering,4/17/2022,,
Jagung Pipil Kering,4/18/2022," Rp4,900.00 "," Rp5,150.00 "
Jagung Pipil Kering,4/19/2022," Rp4,900.00 "," Rp5,150.00 "
Jagung Pipil Kering,4/20/2022," Rp4,900.00 "," Rp5,150.00 "
Jagung Pipil Kering,4/21/2022," Rp4,900.00 "," Rp5,150.00 "
Jagung Pipil Kering,4/22/2022," Rp4,900.00 "," Rp5,150.00 "
Jagung Pipil Kering,4/23/2022,,
Jagung Pipil Kering,4/24/2022,,
