Komoditi,tahun,triwulan,Luas Panen,Produktivitas,Produksi
Padi sawah,2022,1,35685.62,56.59362511,201957.86
Padi sawah,2022,2,12599,54.27975236,68387.06
Padi sawah,2022,3,6888.7897,55.24063247,38054.11
Padi sawah,2023,1,26790.3606,55.97746975,149965.66
Padi sawah,2023,2,21687.8044,58.7974779,127518.82
Padi sawah,2023,3,8101.2824,54.17660789,43890
padi gogo,2022,1,2871,37.92586476,10888.51577
padi gogo,2022,2,0,0,0
padi gogo,2022,3,0,0,0
padi gogo,2023,1,1175,38.17679092,4485.772933
padi gogo,2023,2,0,0,0
padi gogo,2023,3,0,0,0
padi total,2022,1,38556.62,55.20358781,212846.3758
padi total,2022,2,12599,54.27975236,68387.06
padi total,2022,3,6888.7897,55.24063247,38054.11
padi total,2023,1,27965.3606,55.22955171,154451.4329
padi total,2023,2,21687.8044,58.7974779,127518.82
padi total,2023,3,8101.2824,54.17660789,43890
jagung,2022,1,70654.48313,73.8989014,522128.8683
jagung,2022,2,13795.9425,72.2183276,99631.9895
jagung,2022,3,11893.0081,68.69,81693.07264
jagung,2023,1,68965.86949,71.01013366,489727.5611
jagung,2023,2,17906.7952,71.06765305,127259.3909
jagung,2023,3,9353.0426,81.16508426,75914.04907
kacang hijau,2022,1,0,0,0
kacang hijau,2022,2,7492.0257,14.32212424,10730.17229
kacang hijau,2022,3,1067.6873,14.20679055,1516.840984
kacang hijau,2023,1,0,0,0
kacang hijau,2023,2,5939.87,14.36056478,8529.988794
kacang hijau,2023,3,1172.3886,14.39569514,1687.734887
