commodity,mode,epochs,mae,rmse,mape,smape,directional_acc
Beras Premium,univariate,60,319.854,320.032,2.460,2.430,0.000
Beras Premium,multivariate,60,494.515,494.543,3.804,3.733,0.000
Beras Premium,univariate,60,244.661,244.789,1.882,1.864,0.000
Beras Premium,multivariate,60,745.200,745.202,5.732,5.573,0.000
Beras Medium,univariate,60,232.873,233.183,1.863,1.846,0.000
Beras Medium,multivariate,60,11.611,13.076,0.093,0.093,0.000
Jagung Pipil Kering,univariate,60,45.298,48.863,1.161,1.169,0.000
Jagung Pipil Kering,multivariate,60,161.012,161.804,4.129,4.044,0.000
Kacang Hijau,univariate,60,8.497,10.178,0.065,0.065,0.000
Kacang Hijau,multivariate,60,5.028,6.067,0.039,0.039,0.000
Beras Premium,univariate,60,118.314,118.418,0.910,0.906,0.000
Beras Premium,multivariate,60,700.446,700.475,5.388,5.247,0.000
Beras Medium,univariate,60,63.498,64.454,0.508,0.507,0.000
Beras Medium,multivariate,60,51.375,52.332,0.411,0.410,0.000
Jagung Pipil Kering,univariate,60,97.099,98.252,2.490,2.522,0.000
Jagung Pipil Kering,multivariate,60,134.542,135.267,3.450,3.391,0.000
Kacang Hijau,univariate,60,11.149,11.421,0.086,0.086,0.000
Kacang Hijau,multivariate,60,4.596,4.813,0.035,0.035,0.000
Beras Premium,univariate,60,139.256,139.532,1.071,1.065,0.000
Beras Premium,multivariate,60,434.223,434.468,3.340,3.285,0.000
Beras Medium,univariate,60,106.835,108.124,0.855,0.851,0.000
Beras Medium,multivariate,60,116.826,117.447,0.935,0.930,0.000
Jagung Pipil Kering,univariate,60,77.850,79.772,1.996,2.017,0.000
Jagung Pipil Kering,multivariate,60,104.918,106.431,2.690,2.653,0.000
Kacang Hijau,univariate,60,1.933,2.164,0.015,0.015,0.000
Kacang Hijau,multivariate,60,5.206,5.315,0.040,0.040,0.000
