commodity,mode,epochs,mae,rmse,mape,smape,directional_acc
Beras Premium,univariate,2,1041.378,1041.524,8.011,7.702,0.000
Beras Premium,multivariate,2,298.224,298.243,2.294,2.268,0.000
Beras Medium,univariate,2,977.054,977.121,7.816,7.522,0.000
Beras Medium,multivariate,2,204.505,204.955,1.636,1.650,0.000
Jagung Pipil Kering,univariate,2,146.392,146.486,3.754,3.826,0.000
Jagung Pipil Kering,multivariate,2,213.885,213.894,5.484,5.338,0.000
Kacang Hijau,univariate,2,62.524,62.561,0.481,0.482,0.000
Kacang Hijau,multivariate,2,73.277,73.303,0.564,0.562,0.000
Beras Premium,univariate,2,1173.684,1173.738,9.028,8.638,0.000
Beras Premium,multivariate,2,391.481,391.506,3.011,2.967,0.000
Beras Medium,univariate,2,867.926,867.952,6.943,6.710,0.000
Beras Medium,multivariate,2,127.819,127.979,1.023,1.028,0.000
Jagung Pipil Kering,univariate,2,145.718,145.743,3.736,3.808,0.000
Jagung Pipil Kering,multivariate,2,202.498,202.524,5.192,5.061,0.000
Kacang Hijau,univariate,2,25.158,25.226,0.194,0.194,0.000
Kacang Hijau,multivariate,2,16.576,16.756,0.128,0.127,0.000
Beras Premium,univariate,60,191.829,192.111,1.476,1.465,0.000
Beras Premium,multivariate,60,410.370,410.640,3.157,3.108,0.000
Beras Medium,univariate,60,11.378,13.393,0.091,0.091,0.000
Beras Medium,multivariate,60,17.429,19.502,0.139,0.139,0.000
Jagung Pipil Kering,univariate,60,76.735,78.792,1.968,1.988,0.000
Jagung Pipil Kering,multivariate,60,162.062,163.167,4.155,4.070,0.000
Kacang Hijau,univariate,60,6.938,8.241,0.053,0.053,0.000
Kacang Hijau,multivariate,60,10.894,11.914,0.084,0.084,0.000
Beras Premium,univariate,60,255.866,256.050,1.968,1.949,0.000
Beras Premium,multivariate,60,431.455,431.799,3.319,3.265,0.000
Beras Medium,univariate,60,79.633,80.615,0.637,0.635,0.000
Beras Medium,multivariate,60,89.832,89.876,0.719,0.716,0.000
Beras Premium,univariate,60,258.289,258.867,1.987,1.967,0.000
Beras Premium,multivariate,60,435.905,436.295,3.353,3.298,0.000
Beras Medium,univariate,60,28.365,28.526,0.227,0.227,0.000
Beras Medium,multivariate,60,79.312,80.836,0.634,0.632,0.000
Jagung Pipil Kering,univariate,60,79.386,81.187,2.036,2.057,0.000
Jagung Pipil Kering,multivariate,60,120.264,121.618,3.084,3.036,0.000
Kacang Hijau,univariate,60,7.830,8.259,0.060,0.060,0.000
Kacang Hijau,multivariate,60,1.789,2.020,0.014,0.014,0.000
Beras Premium,univariate,60,215.325,215.431,1.656,1.643,0.000
Beras Premium,multivariate,60,874.422,874.432,6.726,6.507,0.000
Beras Medium,univariate,60,70.181,71.532,0.561,0.560,0.000
Beras Medium,multivariate,60,107.668,108.221,0.861,0.858,0.000
Jagung Pipil Kering,univariate,60,68.932,71.384,1.767,1.784,0.000
Jagung Pipil Kering,multivariate,60,59.380,62.888,1.523,1.510,0.000
Kacang Hijau,univariate,60,12.990,13.420,0.100,0.100,0.000
Kacang Hijau,multivariate,60,5.738,5.962,0.044,0.044,0.000
