commodity,mode,epochs,mae,rmse,mape,smape,directional_acc
Beras Medium,univariate,60,108.678,109.533,0.869,0.866,0.000
Beras Medium,multivariate,60,98.251,100.420,0.786,0.783,0.000
Beras Medium,univariate,60,69.576,72.202,0.557,0.555,0.000
Beras Medium,multivariate,60,16.926,20.106,0.135,0.135,0.000
Beras Medium,univariate,60,91.949,92.438,0.736,0.733,0.000
Beras Medium,multivariate,60,129.930,130.392,1.039,1.034,0.000
Beras Medium,univariate,60,139.345,139.434,1.115,1.109,0.000
Beras Medium,multivariate,60,18.540,23.592,0.148,0.148,0.000
Beras Medium,univariate,60,35.546,36.947,0.284,0.285,0.000
Beras Medium,multivariate,60,31.967,34.706,0.256,0.255,0.000
Beras Medium,univariate,60,14.048,14.579,0.112,0.112,0.000
Beras Medium,multivariate,60,55.807,57.572,0.446,0.445,0.000
Beras Medium,univariate,60,232.873,233.183,1.863,1.846,0.000
Beras Medium,multivariate,60,11.611,13.076,0.093,0.093,0.000
Beras Medium,univariate,60,63.498,64.454,0.508,0.507,0.000
Beras Medium,multivariate,60,51.375,52.332,0.411,0.410,0.000
Beras Medium,univariate,60,106.835,108.124,0.855,0.851,0.000
Beras Medium,multivariate,60,116.826,117.447,0.935,0.930,0.000
